main_regime_v2_label,accepted_mapping_confidence_95,min_required_split_wilson95_lcb,blockers,calibration_rows,heldout_market_rows,heldout_time_rows,test_rows
Bear,True,0.9999834864,,346801,254759,232620,601584
Bull,True,0.9999828482,,380914,261647,223964,568530
Sideways,True,0.9999882881,,492100,375651,327992,966341
Crisis,False,0.0,calibration_support_below_50;calibration_source_mapping_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_source_mapping_wilson95_below_0.95;heldout_time_support_below_50;heldout_time_source_mapping_wilson95_below_0.95;test_support_below_50;test_source_mapping_wilson95_below_0.95;crisis_absent_from_tsie_source_taxonomy,0,0,0,0
