base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,correlation_window_bars,recent_correlation,event_time,smt_signal,base_swing_type,base_event_time,base_level,comparison_swing_type,comparison_event_time,comparison_level,event_window_bars,event_time_delta_bars,same_event_window_confirmed,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,fail_closed_reason,confirmation_role,actionable,forward_return,outcome_hit,entry_context_complete,label_fail_closed_reason,branch_path
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-08T12:30:00+00:00,bullish_smt,LL,2026-05-08T12:30:00+00:00,4709.60009765625,HL,2026-05-08T12:15:00+00:00,80.90499877929688,3,1,True,sell_side_liquidity,False,HL,80.90499877929688,True,FVG,True,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0038239105145727727,False,False,entry_context_incomplete:missing_displacement,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T00:45:00+00:00,bullish_smt,LL,2026-05-11T00:45:00+00:00,4678.39990234375,HL,2026-05-11T01:00:00+00:00,80.05500030517578,3,1,True,sell_side_liquidity,False,HL,80.05500030517578,True,session_high_low,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0011720831113478955,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T04:30:00+00:00,bullish_smt,LL,2026-05-11T04:30:00+00:00,4675.89990234375,HL,2026-05-11T04:30:00+00:00,80.75,3,0,True,sell_side_liquidity,False,HL,80.75,True,session_high_low,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-2.1385188555815448e-05,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T16:30:00+00:00,bullish_smt,LL,2026-05-11T16:30:00+00:00,4716.7998046875,HL,2026-05-11T16:45:00+00:00,85.7300033569336,3,1,True,sell_side_liquidity,False,HL,85.7300033569336,True,FVG,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.0032832723253261166,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-12T03:45:00+00:00,bullish_smt,LL,2026-05-12T03:45:00+00:00,4726.7998046875,HL,2026-05-12T03:45:00+00:00,86.56500244140625,3,0,True,sell_side_liquidity,False,HL,86.56500244140625,True,session_high_low,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.00499050489664834,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-12T10:00:00+00:00,bearish_smt,HH,2026-05-12T10:00:00+00:00,4716.7001953125,LH,2026-05-12T10:00:00+00:00,85.1449966430664,3,0,True,buy_side_liquidity,False,LH,85.1449966430664,True,FVG,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0009760237552640895,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
XAUUSD,DXY,negative,0.0,15m,NY_AM,15m,NY_AM,True,True,299,-0.5794,,none,n/a,,,n/a,,,3,,False,none,True,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,no_same_event_smt_confirmation_failure_detected,confirmation_only,False,,,False,event_time_missing_from_provider_candles,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-15T17:00:00+00:00,bearish_smt,HH,2026-03-15T17:00:00+00:00,71987.2890625,LH,2026-03-15T17:00:00+00:00,2117.396728515625,3,0,True,buy_side_liquidity,False,LH,2117.396728515625,True,session_high_low,False,True,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.03253354871978157,False,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-17T10:00:00+00:00,bullish_smt,LL,2026-03-17T10:00:00+00:00,73614.75,HL,2026-03-17T10:00:00+00:00,2307.620361328125,3,0,True,sell_side_liquidity,False,HL,2307.620361328125,True,session_high_low,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,0.007996446023989337,True,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-19T21:00:00+00:00,bearish_smt,HH,2026-03-19T21:00:00+00:00,70695.4375,LH,2026-03-19T19:00:00+00:00,2156.0771484375,3,2,True,buy_side_liquidity,False,LH,2156.0771484375,True,FVG,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False,-0.0011118178893061207,False,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_entry_context_outcome_labeling_v1
