strategy,timerange_label,timerange,basket,trade_count,win_rate_pct,total_profit_pct,profit_factor,sharpe,max_drawdown_pct,bah_profit_pct,bah_dd_pct
BNBMeanRevertSharp,bull_2021,20210101-20211231,BNB/USDT,26,80.7692,10.32,2.5388,0.5591,-2.8858,1253.7624,-61.4405
BNBMeanRevertSharp,winter_2022,20220101-20221231,BNB/USDT,29,68.9655,2.8,1.3657,0.1656,-2.8664,-53.2903,-62.9002
BNBMeanRevertSharp,recovery_23_25,20230101-20251231,BNB/USDT,73,68.4932,3.75,1.2231,0.087,-3.0972,253.6416,-41.0124
BNBMeanRevertSharp,full_5y,20210101-20251231,BNB/USDT,125,70.4,16.25,1.4785,0.1848,-3.097,2187.9485,-70.8645
CrashReboundVolume,bull_2021,20210101-20211231,"SOL/USDT,BNB/USDT,AVAX/USDT",50,70.0,17.45,2.0191,0.733,-4.8636,5056.8349,-61.452
CrashReboundVolume,winter_2022,20220101-20221231,"SOL/USDT,BNB/USDT,AVAX/USDT",41,68.2927,-0.05,0.9977,-0.0018,-12.9598,-85.3194,-85.4496
CrashReboundVolume,recovery_23_25,20230101-20251231,"SOL/USDT,BNB/USDT,AVAX/USDT",129,68.2171,15.19,1.3063,0.2261,-8.0805,374.1799,-52.0477
CrashReboundVolume,full_5y,20210101-20251231,"SOL/USDT,BNB/USDT,AVAX/USDT",208,69.2308,38.01,1.396,0.2802,-11.1503,3631.6791,-87.4042
