source_type,path,exists,row_count,date_min,date_max,post_cutoff_row_count,r5_schema_compatible,missing_r5_columns,unknown_tickers,sha256
r5_expected_stock_panel,/Users/thrill3r/Downloads/stock-market-regimes-20002026/stock_market_regimes_2000_2026.csv,True,245021,2000-01-03,2026-01-30,0,True,[],[],2c8a3d8bc3c834f89eb776cf69930c041f1059a895e115b623d4427f67193cd0
nifty_source_label_timeline,/tmp/ict-engine-public-source-intake-scout/nifty/regime_timeline_history.csv,True,3464,2012-02-02,2026-03-20,34,False,"[""date"", ""ticker"", ""close"", ""returns"", ""volatility"", ""regime_label"", ""regime_confidence"", ""macro_context"", ""unemployment_rate"", ""fed_funds_rate"", ""cpi"", ""10y_treasury"", ""2y_treasury"", ""vix""]",[],4bfb78601e36557e177701bf8ee6a0c9b8e243206e0f9eafe8ee6c7115f0b732
