market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
NQ/USD,15m,bear_intraday_breakdown_short,351288,20219,-0.000640868810123355,0.37820861565853897,-12.957726471884115
NQ/USD,15m,bear_intraday_relief_long,351288,25221,-0.000739308897624135,0.3300424249633242,-18.646109706978308
NQ/USD,15m,bear_intraday_vol_compression_short,351288,15339,-0.0005726067935657263,0.39787469848099616,-8.783215606504676
NQ/USD,15m,sideways_intraday_band_reversion,351288,27752,-0.0007093839807137149,0.335471317382531,-19.686824232767016
NQ/USD,15m,sideways_intraday_range_breakout,351288,20270,-0.0005843419872083879,0.3632461766156882,-11.844612080714022
NQ/USD,15m,sideways_intraday_microtrend_filter,351288,22431,-0.0006232750713503117,0.3600820293344033,-13.98068312545884
NQ/USD,15m,crisis_intraday_tail_short,351288,20941,-0.0006316151515767943,0.37777565541282654,-13.22665288916965
NQ/USD,15m,crisis_intraday_relief_long,351288,26417,-0.0006812290490122417,0.33663928530870274,-17.99602778775639
NQ/USD,15m,crisis_intraday_abstain_defensive,351288,25989,-0.0006929257747198477,0.338758705606218,-18.008447959194122
NQ/USD,1h,bear_intraday_breakdown_short,89250,7031,-0.00045012455510535967,0.44431802019627364,-3.164825746945784
NQ/USD,1h,bear_intraday_relief_long,89250,7761,-0.0006610135285342365,0.4222394021388996,-5.130125994954209
NQ/USD,1h,bear_intraday_vol_compression_short,89250,5716,-0.00035297583099327105,0.45731280615815256,-2.0176098499575374
NQ/USD,1h,sideways_intraday_band_reversion,89250,8333,-0.0005107555497668669,0.42553702148085926,-4.2561259962073015
NQ/USD,1h,sideways_intraday_range_breakout,89250,6135,-0.000192633211284425,0.4606356968215159,-1.1818047512299474
NQ/USD,1h,sideways_intraday_microtrend_filter,89250,7054,-0.00028460992277566774,0.4536433229373405,-2.0076383952595602
NQ/USD,1h,crisis_intraday_tail_short,89250,7156,-0.00043966297155197186,0.45206819452207936,-3.1462282244259105
NQ/USD,1h,crisis_intraday_relief_long,89250,8139,-0.000466185075123874,0.43137977638530534,-3.794280326433211
NQ/USD,1h,crisis_intraday_abstain_defensive,89250,8457,-0.0005654739724871668,0.4215442828426156,-4.78221338532397
