protocol_version,symbol,generated_at,candidate_set_id,candidate_set_size,rank,path_id,scenario_id,path_label,regime_profit_branch_path,parent_regime_root,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,direction,raw_path_score,calibrated_path_prob,path_prob_lower_bound,execution_gate_status,execution_gate_min_path_prob,execution_gate_reason,pending_reward_state,maturity_mask,maturity_weight,calibrated_label,propensity_estimate,ips_weight,training_weight,regime_calibration_bucket,behavior_policy_probability,execution_propensity,target_policy_probability_confidence,target_policy_probability_lower_bound,target_policy_reward_prior,target_policy_reward_lower_bound,experience_prior,current_posterior,structural_baseline_score,score_model_family,score_source_kind,score_model_artifact_uri,score_generator
structural-path-ranking-target-v1,BOARD_A_BTC_KRAKEN_191941,2026-05-12T11:42:26Z,structural-candidates:BOARD_A_BTC_KRAKEN_191941:efa0885ca8c72d29,3,1,path:scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:range_mean_reversion:primary,scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:range_mean_reversion,range_mean_reversion,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,0.205408,4.868359,,BOARD_A_BTC_KRAKEN_191941:range,0.366208,0.560905,,,,,0.486619,0.544541,0.527165,,,,
structural-path-ranking-target-v1,BOARD_A_BTC_KRAKEN_191941,2026-05-12T11:42:26Z,structural-candidates:BOARD_A_BTC_KRAKEN_191941:efa0885ca8c72d29,3,2,path:scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:stress_de_risk:primary,scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:stress_de_risk,stress_de_risk,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,BOARD_A_BTC_KRAKEN_191941:range,0.316896,,,,,,0.250000,0.544541,0.456179,,,,
structural-path-ranking-target-v1,BOARD_A_BTC_KRAKEN_191941,2026-05-12T11:42:26Z,structural-candidates:BOARD_A_BTC_KRAKEN_191941:efa0885ca8c72d29,3,3,path:scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:transition_confirmation:primary,scenario:BOARD_A_BTC_KRAKEN_191941:belief_regime_node:range:transition_confirmation,transition_confirmation,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,BOARD_A_BTC_KRAKEN_191941:range,0.316896,,,,,,0.250000,0.544541,0.456179,,,,
