symbol,timeframe,context_timeframe,variant,mode,factor_id,branch_path,rows,sessions,trade_count,trades_per_day,win_rate_pct,profit_factor,raw_total_profit_pct,instrument_cost_total_profit_pct,survives_instrument_cost,real_fee_round_turn_pct,cost_model_status,cost_profile_id,promotion_cost_verified,session_scope,rth_filter_applied,outside_rth_rows,eth_full_retained_session_evidence,minimum_trade_sample_floor_met,density_target_0_2_per_day_met,split_years,split_all_years_positive,local_gate1_candidate,promotion_allowed,trade_usable,update_goal
NQ,5m,15m,nq5m_microbreak_fast,microbreak,tomac_idxfut_clean_hurst_efficiency_density_repair_v1,TrendExpansion -> HurstEfficiencyPersistence -> CompressionPause -> ReaccelerationBreakout -> DensityRepair -> tomac_idxfut_clean_hurst_efficiency_density_repair_v1,264204,1555,589,0.378778,54.3294,1.27514,14.413753,13.552642,True,0.00146199,verified_ibkr_broker_side,CME_NQ_IBKR_verified_20260530_v1,True,ETH/full_retained_session,False,152279,True,True,True,"{""all_years_positive"": true, ""positive_year_count"": 5, ""year_count"": 5, ""years"": {""2021"": {""raw_total_profit_pct"": 0.697906, ""trade_count"": 118}, ""2022"": {""raw_total_profit_pct"": 5.284635, ""trade_count"": 102}, ""2023"": {""raw_total_profit_pct"": 1.446077, ""trade_count"": 121}, ""2024"": {""raw_total_profit_pct"": 3.764472, ""trade_count"": 131}, ""2025"": {""raw_total_profit_pct"": 3.220663, ""trade_count"": 117}}}",True,True,False,False,False
NQ,5m,15m,nq5m_reclaim_fast,ema_reclaim,tomac_idxfut_clean_hurst_efficiency_density_repair_v1,TrendExpansion -> HurstEfficiencyPersistence -> CompressionPause -> ReaccelerationBreakout -> DensityRepair -> tomac_idxfut_clean_hurst_efficiency_density_repair_v1,264204,1555,333,0.214148,56.4565,1.43916,12.476664,11.989821,True,0.00146199,verified_ibkr_broker_side,CME_NQ_IBKR_verified_20260530_v1,True,ETH/full_retained_session,False,152279,True,True,True,"{""all_years_positive"": true, ""positive_year_count"": 5, ""year_count"": 5, ""years"": {""2021"": {""raw_total_profit_pct"": 2.179771, ""trade_count"": 71}, ""2022"": {""raw_total_profit_pct"": 2.933818, ""trade_count"": 59}, ""2023"": {""raw_total_profit_pct"": 1.573585, ""trade_count"": 56}, ""2024"": {""raw_total_profit_pct"": 2.865082, ""trade_count"": 85}, ""2025"": {""raw_total_profit_pct"": 2.924408, ""trade_count"": 62}}}",True,True,False,False,False
