market,timeframe,variant_id,bars,trades,mean_profit_ratio,win_rate,net_return_R
QQQ/USD,4h,sideways_compression_carry,912,15,-0.0008382831573026909,0.4,-0.012574247359540365
QQQ/USD,4h,crisis_tail_short,912,0,0.0,0.0,0.0
QQQ/USD,4h,crisis_defensive_long,912,0,0.0,0.0,0.0
QQQ/USD,4h,crisis_panic_reversal,912,0,0.0,0.0,0.0
SPY/USD,1h,bull_risk_on_momentum_fast,1286,89,8.882792932798682e-05,0.5730337078651685,0.007905685710190827
SPY/USD,1h,bull_risk_on_pullback,1286,21,0.0006591274513597183,0.5714285714285714,0.013841676478554084
SPY/USD,1h,bull_crypto_carry,1286,0,0.0,0.0,0.0
SPY/USD,1h,bear_risk_off_short,1286,0,0.0,0.0,0.0
SPY/USD,1h,bear_failed_rally_short,1286,0,0.0,0.0,0.0
SPY/USD,1h,bear_defensive_long,1286,0,0.0,0.0,0.0
SPY/USD,1h,sideways_range_reversion,1286,21,0.0016319614120048993,0.47619047619047616,0.034271189652102886
SPY/USD,1h,sideways_breakout_failure,1286,1,-0.006043512264486272,0.0,-0.006043512264486272
SPY/USD,1h,sideways_compression_carry,1286,23,-0.001621141138455633,0.4782608695652174,-0.03728624618447956
SPY/USD,1h,crisis_tail_short,1286,0,0.0,0.0,0.0
SPY/USD,1h,crisis_defensive_long,1286,0,0.0,0.0,0.0
SPY/USD,1h,crisis_panic_reversal,1286,0,0.0,0.0,0.0
SPY/USD,4h,bull_risk_on_momentum_fast,429,48,0.000789414885026887,0.5208333333333334,0.037891914481290576
SPY/USD,4h,bull_risk_on_pullback,429,8,0.004584144709055932,0.625,0.03667315767244746
SPY/USD,4h,bull_crypto_carry,429,0,0.0,0.0,0.0
SPY/USD,4h,bear_risk_off_short,429,0,0.0,0.0,0.0
SPY/USD,4h,bear_failed_rally_short,429,0,0.0,0.0,0.0
SPY/USD,4h,bear_defensive_long,429,0,0.0,0.0,0.0
SPY/USD,4h,sideways_range_reversion,429,10,0.001241036665983287,0.6,0.01241036665983287
SPY/USD,4h,sideways_breakout_failure,429,1,-0.04105419978403644,0.0,-0.04105419978403644
SPY/USD,4h,sideways_compression_carry,429,8,-0.0008589041313411165,0.625,-0.006871233050728932
SPY/USD,4h,crisis_tail_short,429,0,0.0,0.0,0.0
SPY/USD,4h,crisis_defensive_long,429,0,0.0,0.0,0.0
SPY/USD,4h,crisis_panic_reversal,429,0,0.0,0.0,0.0
IWM/USD,1h,bull_risk_on_momentum_fast,1286,86,0.0007984744702659839,0.5116279069767442,0.06866880444287461
IWM/USD,1h,bull_risk_on_pullback,1286,14,0.0007228087049753819,0.5714285714285714,0.010119321869655347
IWM/USD,1h,bull_crypto_carry,1286,0,0.0,0.0,0.0
IWM/USD,1h,bear_risk_off_short,1286,0,0.0,0.0,0.0
IWM/USD,1h,bear_failed_rally_short,1286,0,0.0,0.0,0.0
IWM/USD,1h,bear_defensive_long,1286,0,0.0,0.0,0.0
IWM/USD,1h,sideways_range_reversion,1286,16,0.002439653971132864,0.5625,0.03903446353812583
